Province/State,Hubei,Guangdong,Henan,Zhejiang,Hunan,Anhui,Jiangxi,Shandong,Jiangsu,Chongqing,Sichuan,Heilongjiang,Beijing,Shanghai,Hebei,Fujian,Guangxi,Shaanxi,Yunnan,Hainan,Guizhou,Tianjin,Shanxi,Gansu,Hong Kong,Liaoning,Jilin,Xinjiang,Inner Mongolia,Ningxia,Qinghai,Macau,Tibet
Hubei,1.0,-0.2279181821968795,0.11042808714072097,-0.048634088854935115,-0.043090037036570696,-0.06916316442045196,0.029053574402571655,-0.03054885765304542,0.31753951819245496,0.053173382517348315,0.037880312916753506,-0.0009246300717237713,0.17904793732422852,-0.20024672096750837,0.04980856015837738,0.12033030397154096,-0.3060977680883495,-0.0403287349912567,-0.00962596276207016,-0.42534759617248485,-0.21343649159383268,0.04202332182498726,0.05980798764662371,0.13147779437844573,-0.013438034136098538,-0.15778304186572065,0.03922135149815788,-0.04576063842947399,-0.05119243718532077,0.17689309506845388,0.030738499334086265,0.06615219275684894,0.019240067082091885
Guangdong,-0.2279181821968795,1.0,0.11692232184671579,-0.013987074282898491,0.09732723119417916,0.23785523724216237,-0.10346157655804815,-0.04602864910065399,0.14038479367471035,-0.20540458390673394,-0.07413838162675447,-0.1637822250582265,0.18960310667895539,0.2811325272294343,0.00391896868564125,-0.012111671172595715,0.15207064683872848,-0.07980616791603393,-0.144444790160455,0.1848816478348213,-0.40425282672824175,0.03983403658202158,0.1619124076611539,0.18487416560688183,-0.06978184458313645,0.31251267492245677,8.156574702332934e-05,-0.11814917589609392,0.07276992190162263,0.11094581450024281,-0.07236324947985141,-0.11972312271476461,-0.018605973058443446
Henan,0.11042808714072097,0.11692232184671579,1.0,0.35343207437527446,-0.2479969653033999,-0.05594925445270351,0.5461409910752955,-0.05488516722627309,0.06755526152698772,-0.03957303741799983,0.43612990034408533,-0.12172300401285795,-0.12120567607307926,-0.24600444339195238,0.0734124718008609,0.2883126042681598,0.3000274654622165,0.12183990047262042,-0.3289999479230023,-0.04504560442631508,0.1309890618830901,0.027491109710936632,-0.06883409678831735,-0.15914444059285957,-0.032229997685043574,-0.04967382608266288,0.2125443438047044,0.10058509002303728,-0.3877343030455071,0.21133130641418565,0.2299128005184753,0.35498229665247616,0.31707670149563444
Zhejiang,-0.048634088854935115,-0.013987074282898491,0.35343207437527446,1.0,0.3783906002291984,0.22902991931389138,0.12151378187595932,0.26530323739045686,0.33643486638582926,-0.29135147225226177,0.1535472556538852,-0.04476157304820379,-0.2756438416092764,0.03570522322712734,0.28272529985157524,-0.5303744609795027,0.08044883945208814,-0.1201215914872465,-0.22234831362410046,-0.25745528910251214,0.20769550516714003,-0.22694671565398222,-0.3411442637606212,-0.28869103302302257,-0.0012721279602879998,-0.3367223668913346,0.10081708261017128,0.08779585161977742,-0.4606054172641062,-0.06654245366523827,-0.19015030296132326,0.01394603165214022,0.4311949212077552
Hunan,-0.043090037036570696,0.09732723119417916,-0.2479969653033999,0.3783906002291984,1.0,0.10001916496027537,-0.22599979680283744,0.006058779074177139,0.15228115321925986,-0.07854164244461952,-0.3091654562739958,0.19080142664980382,0.059581571794512685,0.2916190845846653,-0.2120288455281547,-0.7332257930957901,-0.2727632234571626,-0.06260684215066135,0.050226758947743554,0.04116851081243492,-0.0384122382675829,-0.32561716972290977,-0.28398827437252827,-0.09851414756954267,0.07173556341390687,-0.12713370883368288,0.15575428177386283,0.19130376108949335,-0.06912471023132792,-0.24737640654507784,-0.12430321608132791,0.06833415709121489,-0.10160909157672846
Anhui,-0.06916316442045196,0.23785523724216237,-0.05594925445270351,0.22902991931389138,0.10001916496027537,1.0,-0.2261718683709901,-0.01651868478344795,0.17218340485872136,-0.4633845300954384,0.05010175179012059,0.20211063995991455,-0.07188134499202145,0.24175861843301288,0.24752524868030398,-0.01325243434232015,0.05703757380557638,-0.5600257335665507,-0.018666059212858174,-0.1394260035785162,-0.30732258428620923,0.02245123826554389,-0.003765428004066163,-0.033366216283070016,-0.09517393417132788,0.08798201247352791,-0.06274254094905171,-0.05058569457728669,-0.01500123366646358,0.15617423503982214,-0.3423846186732468,0.0053928707982761805,0.1384644719288317
Jiangxi,0.029053574402571655,-0.10346157655804815,0.5461409910752955,0.12151378187595932,-0.22599979680283744,-0.2261718683709901,1.0,-0.04030597851757821,0.3331767686159194,0.10698874715958923,0.6260279092459611,0.28991297835579055,-0.13750702800242431,-0.23243762311698637,-0.01996270852889233,0.35792054585230965,-0.032286958881985385,0.41709167710342093,0.050256395982173185,0.2963984268096923,0.49052136862731816,-0.2843341754612467,-0.14163728579741885,-0.23801878134845122,-0.033459802478840395,-0.018006116725270645,0.22810901495622,0.009385588773770404,-0.08253597743983093,0.18485930787312918,0.18468113135557682,0.18586300581896553,0.1944995361476567
Shandong,-0.03054885765304542,-0.04602864910065399,-0.05488516722627309,0.26530323739045686,0.006058779074177139,-0.01651868478344795,-0.04030597851757821,1.0,-0.008630879364634964,0.027184348296774626,0.01751589344000727,0.018798666104985987,-0.028469302874698087,0.018050836638474496,0.038594300189638324,-0.04653019562066745,-0.027404684518178422,-0.06735956630734148,-0.006662056320828372,-0.05486752490879936,-0.0037742865372520106,-0.03309081713940955,-0.024271725758124953,-0.002351752172353715,-0.09679648665002326,-0.028644118382760857,-0.07446263170838274,-0.01192779520884025,-0.002860314407811506,-0.01108275811616475,0.005025065890841931,-0.048614962199679555,0.0005278500744936962
Jiangsu,0.31753951819245496,0.14038479367471035,0.06755526152698772,0.33643486638582926,0.15228115321925986,0.17218340485872136,0.3331767686159194,-0.008630879364634964,1.0,-0.2688310887109197,0.340974176188181,0.22133299583545946,0.2794062100893411,0.12147138162058972,0.22586971453668633,-0.16277174073756276,-0.457798865251591,0.23671609564617974,-0.2759651872914696,-0.08655208399363978,0.11705288452108677,-0.3086231226665233,-0.1507969900900403,-0.03475903822916377,-0.07699116263542488,0.09758301024197644,-0.1376536698920345,-0.09202838182417916,-0.29250897734301806,0.04299397819717646,-0.4175013828066688,0.0315878062637022,-0.1147588102542205
Chongqing,0.053173382517348315,-0.20540458390673394,-0.03957303741799983,-0.29135147225226177,-0.07854164244461952,-0.4633845300954384,0.10698874715958923,0.027184348296774626,-0.2688310887109197,1.0,0.1439683517183827,-0.24294867284310914,-0.28660482851901886,-0.3467725707521531,-0.4478094059938885,0.14452188598172364,0.17028009131000332,0.060168718716125204,0.2600069880257907,-0.08457477143321701,0.09824634915730676,0.0686258128354973,0.22108416557634164,-0.04091324322522916,0.019380374551454645,-0.18098824244965897,0.4383047205106979,-0.15386128948933586,0.1752483264851324,-0.1200741063210403,0.4457566365588498,0.05614284487892663,0.15935196015060588
